时间,牧草2,风蚀,木材,渗滤径流,矿石
1918,235333.413,263686.09101000003,0,315389.24611,0
1919,235333.413,263615.6493,0,315304.9923,0
1920,235333.413,263548.34358,0,315224.48938,0
1921,235333.413,263484.42732,0,315148.04052,0
1922,235333.413,263424.09049499995,0,315075.87294499995,0
1923,235333.413,263367.27012,0,315007.91132,0
1924,235333.413,263313.8412450001,0,314944.006195,0
1925,235333.413,263263.6779,0,314884.0068999999,0
1926,235333.413,263216.65437,0,314827.7630699999,0
1927,412542.24899999995,263172.64544999995,0,314775.12495,0
1928,412542.24899999995,263131.525425,0,314725.942175,0
1929,412542.24899999995,263093.1683249999,0,314680.06407499994,0
1930,412542.24899999995,263057.448945,0,314637.34089500003,0
1931,412542.24899999995,263024.24156999995,0,314597.62227,0
1932,412542.24899999995,262993.420485,0,314560.757835,0
1933,412542.24899999995,262964.86023,0,314526.59753,0
1934,412542.24899999995,262938.43534499995,0,314494.99129499996,0
1935,412542.24899999995,262914.01986,0,314465.78846,0
1936,412542.24899999995,262891.48857000005,0,314438.83927,0
1937,276211.68749999994,262870.71550500003,0,314413.993055,0
1938,276211.68749999994,264356.075205,0,316190.59975499986,0
1939,276211.68749999994,264338.44221,0,316169.50931,0
1940,276211.68749999994,264322.190805,0,316150.07135499996,0
1941,276211.68749999994,264307.19553,0,316132.13583000004,0
1942,276211.68749999994,264293.330415,0,316115.552065,0
1943,276211.68749999994,264280.47025499993,0,316100.170305,0
1944,276211.68749999994,264268.48907999997,0,316085.83988,0
1945,276211.68749999994,264257.261685,0,316072.411035,0
1946,410042.00999999995,217148.16230399997,0,259726.23334399995,0
1947,410042.00999999995,217138.065273,0,259714.15650299998,0
1948,410042.00999999995,217128.3450555,0,259702.53036049998,0
1949,519006.32447999995,213650.8760385,0.70875,255543.2046735,655
1950,567408.3471,213641.532609,0.83,255532.02919899995,1310
1951,616454.4981,213632.210115,0.955,255520.878765,2620
1952,674443.7897399999,212825.88150000002,1.54125,254556.44650000002,3930
1953,722199.31854,212670.3315,2.1925,254370.39649999997,5240
1954,769876.7456099999,212459.7015,2.77625,254118.4665,5240
1955,794625.9069,212255.1915,2.61625,253873.85650000002,10480
1956,809687.61132,211829.8515,2.6312499999999996,253365.11649999995,27510
1957,801267.4739999999,211828.50000000003,3.48375,253363.5,40610
1958,758992.83789,213085.47149999999,4.47375,254866.93649999995,272480
1959,779756.84745,213677.42849999998,5.6475,255574.96349999998,204359.99999999997
1960,753130.0100099999,213605.51849999992,5.16125,255488.95349999997,186020
1961,737323.84089,213811.28187599996,2.7425,255735.06263599996,24890
1962,752294.6302199999,213356.001612,2.96875,255190.511732,14410
1963,795779.7477000001,212991.7773855,4.0625,254754.8709905,30130.000000000004
1964,830270.3969699999,212354.38497,4.75,253992.49967,96940
1965,872205.31062,212098.335339,4.9725,253686.244229,206980.00000000003
1966,891098.4492899997,211389.19076849998,5.240000000000001,252838.05170349998,461120
1967,915555.92037,211250.05713300002,4.0625,252671.636963,335360
1968,931116.69777,211569.1175445,3.48875,253053.2582395,132310
1969,941289.1653899999,211499.550714,4.103749999999999,252970.050854,259380
1970,966777.02646,210443.66469150002,4.7275,251707.12835649998,516139.99999999994
1971,981023.41386,210072.884415,5.08375,251263.646065,737530.0000000001
1972,982639.2185399999,210424.7250255,5.316250000000001,251684.4750305,721810
1973,1006200.1800899999,209533.832571,5.583749999999999,250618.89778099998,694300.0000000001
1974,1015196.8988699998,209157.588945,5.75875,250168.88089499995,909140
1975,1015346.37771,208820.6815425,5.87875,249765.91321750003,1333580.0000000002
1976,993882.57507,208755.4853865,5.71625,249687.93350149997,1134460
1977,990012.1450799999,208885.877673,6.208750000000001,249843.89290299997,1463270
1978,1003819.4623799999,208083.30959400002,6.452875,248883.958534,1490780
1979,1036967.3859299999,207086.97420599998,6.79875,247692.263266,1116120.0000000002
1980,1053565.4667299998,205830.23763750002,6.699124999999999,246189.10776249997,1416110.0000000002
1981,1071837.7958399998,205898.57763749996,6.177500000000001,246270.8477625,1423970
1982,1093609.2260099999,206008.55913749998,6.30125,246402.39426250002,1531389.9999999995
1983,1093330.7775599998,206071.4676375,6.54,246477.6377625,1519600.0000000002
1984,1123129.0749,206200.31913750002,7.98125,246631.75426249998,1761950
1985,1166213.8361999998,206457.3591375,7.90425,246939.19426249998,892110
1986,1228285.26282,206614.43913750004,8.1275,247127.07426249998,1260220
1987,1287083.1084299998,206701.47063749997,8.01,247231.17076249997,1987270
1988,1356046.6640699997,206743.9791375,7.772499999999999,247282.0142625,2389439.9999999995
1989,1405213.1553599997,206760.8091375,7.2525,247302.14426250002,2597730
1990,1432348.1268599997,206756.5506375,6.96375,247297.0507625,2823050
1991,1457114.17551,206761.49763750003,7.25875,247302.9677625,2803400
1992,1498750.06533,206819.45913750003,7.7175,247372.29426249999,3039200.0000000005
1993,1578544.4604299995,206902.2576375,7.9875,247471.32776250003,2771960
1994,1729948.57203,206951.88063749997,8.26875,247530.68076249998,3251420
1995,1652477.70345,206935.5096375,8.458625,247511.0997625,4087200
1996,1612344.8669999996,207185.154,8.387875,247809.69400000002,4066240.0000000005
1997,1781644.8673799997,207219.8595,7.9935,247851.20449999996,4553560
1998,1844785.6746899998,207286.41449999998,7.457749999999998,247930.80949999994,3540930.0000000005
1999,1908460.7028899998,207397.7488005,6.546,248063.9740555,3288100
2000,1886505.66615,207643.15095749998,5.9049999999999985,248357.49428249997,2537470.0000000005
2001,1844643.17121,207803.11873050002,5.69,248548.8282855,2752034.9
2002,1856978.18691,208233.10233150003,5.545125,249063.12239649997,3014310
2003,1880484.0537,208880.13645000002,5.948625,249837.02595000004,3205570
2004,1896744.21951,209121.8648475,6.496625,250126.15207249997,4881754.300000001
2005,1837886.5404899993,209214.75,6.950375,250237.25,3988281.9000000004
2006,1776928.23042,209291.25,8.26475,250328.74999999997,5103694.500000001
2007,1797198.8962199998,209301.44999999998,8.72075,250340.94999999998,5949653.2
2008,1793097.46602,209307.57,10.135375,250348.27,8037007.2
2009,1820217.7860299998,209306.55,8.835375,250347.05,7887365.899999999
2010,1814021.5258199999,209306.55,10.112,250347.05,8917170
2011,1788579.3324,209307.57,10.182375,250348.27,10640213
2012,1794407.9571599998,209306.55,10.218625,250347.05,12483776
